2025-11-25T12:01:19.709Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-11-25T14:00:03.074Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-11-26T06:50:52.865Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-11-26T07:01:15.516Z, d48c49fa8cc0, 4.03v - 81%, 0.8146926
2025-11-26T11:58:49.229Z, d48c49fa8cc0, 4.01v - 79%, 0.7913928
2025-11-26T12:01:18.842Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-11-26T14:00:07.879Z, d48c49fa8cc0, 4.02v - 80%, 0.7952757
2025-11-27T06:49:58.166Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-11-27T07:01:13.928Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-27T11:59:27.139Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-11-27T12:01:20.033Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-11-27T14:00:09.365Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-28T06:49:31.780Z, d48c49fa8cc0, 4.02v - 80%, 0.7952757
2025-11-28T07:01:13.902Z, d48c49fa8cc0, 4.04v - 82%, 0.8185761
2025-11-28T11:58:54.745Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-11-28T12:01:19.300Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-11-28T14:00:17.803Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-12-01T06:02:41.211Z, d48c49fa8cc0, 4.02v - 80%, 0.7952757
2025-12-01T07:00:47.577Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-12-01T11:59:30.672Z, d48c49fa8cc0, 4.02v - 80%, 0.7991593
2025-12-01T12:01:19.574Z, d48c49fa8cc0, 4.00v - 77%, 0.7739177
2025-12-01T14:00:13.512Z, d48c49fa8cc0, 4.01v - 79%, 0.7875092
2025-12-02T06:48:56.103Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-02T07:01:13.896Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-12-02T11:58:51.218Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-02T12:01:18.855Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-12-02T14:00:15.217Z, d48c49fa8cc0, 4.02v - 80%, 0.7991593
2025-12-03T06:50:27.603Z, d48c49fa8cc0, 4.01v - 79%, 0.7875092
2025-12-03T07:01:14.971Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-03T09:16:46.580Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-12-03T11:59:51.894Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2025-12-03T12:01:20.024Z, d48c49fa8cc0, 3.94v - 71%, 0.7098427
2025-12-03T14:00:19.666Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2025-12-04T06:50:27.709Z, d48c49fa8cc0, 3.99v - 76%, 0.7622678
2025-12-04T07:01:14.565Z, d48c49fa8cc0, 3.96v - 73%, 0.7312011
2025-12-04T08:12:27.325Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-04T11:59:44.224Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-04T12:01:19.474Z, d48c49fa8cc0, 4.01v - 78%, 0.7836261
2025-12-04T14:00:04.854Z, d48c49fa8cc0, 4.02v - 80%, 0.8011011
2025-12-05T06:49:32.667Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-05T07:01:14.407Z, d48c49fa8cc0, 4.01v - 78%, 0.7836261
2025-12-05T11:58:38.218Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-12-05T12:01:18.730Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-12-05T14:00:11.845Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-12-08T06:18:06.580Z, d48c49fa8cc0, 4.01v - 79%, 0.7875092
2025-12-08T07:01:33.966Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-12-08T11:59:31.845Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-12-08T12:01:20.086Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
